time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel
240.85	-6.49714	-5.256	0.000179636	-0.000255686	0.457101	0.889415	0.294553	0.121292
241.05	-6.47533	-5.2139	0.000146183	-0.000271112	0.456689	0.889626	0.295767	0.124649
241.25	-6.44315	-5.16725	0.00017684	-0.000233626	0.463116	0.886298	0.294404	0.110922
241.45	-6.41963	-5.13163	0.000112903	-0.000187349	0.467175	0.884165	0.288859	0.116678
241.65	-6.38851	-5.08438	0.000148131	-0.000200087	0.472834	0.881152	0.294121	0.118552
241.85	-6.33756	-5.04271	0.000159656	-0.000201755	0.479591	0.877492	0.293707	0.117942
242.05	-6.30838	-4.99368	0.000113131	-0.000215862	0.484675	0.874694	0.293738	0.117081
242.25	-6.26587	-4.94019	7.92365e-05	-0.000184869	0.489492	0.872008	0.293904	0.110226
242.45	-6.23835	-4.89025	8.43119e-05	-0.000199996	0.493968	0.86948	0.29368	0.106514
242.65	-6.21275	-4.84	0.000158396	-0.000194869	0.49774	0.867326	0.289969	0.0983304
242.85	-6.19305	-4.79086	0.000145641	-0.000151278	0.499516	0.866304	0.294735	0.106011
243.05	-6.16635	-4.74082	0.00013595	-0.000166578	0.502933	0.864325	0.290876	0.110324
243.25	-6.14301	-4.69139	9.54988e-05	-0.00015754	0.507505	0.861649	0.292352	0.10524
243.45	-6.11833	-4.64108	0.000159065	-0.000176212	0.511032	0.859561	0.284058	0.10823
243.65	-6.0926	-4.59111	7.52873e-05	-0.000173814	0.514921	0.857238	0.290026	0.11645
243.851	-6.06574	-4.53498	0.000132796	-0.000149866	0.51583	0.856691	0.289018	0.118234
244.05	-6.04895	-4.4985	0.000154029	-0.000104281	0.518662	0.854979	0.279939	0.111252
244.25	-6.02796	-4.44894	0.00013042	-0.000154819	0.522162	0.852846	0.290362	0.126871
244.45	-6.00099	-4.41306	0.000149272	-8.82899e-05	0.527095	0.849806	0.285541	0.127586
244.65	-5.9775	-4.36238	0.000157719	-0.000161692	0.531549	0.847027	0.26681	0.123914
244.85	-5.9553	-4.31262	8.67448e-05	-0.000196994	0.535845	0.844316	0.287515	0.134332
245.05	-5.9414	-4.25709	0.000126721	-0.000117981	0.539455	0.842014	0.262646	0.121707
245.25	-5.92111	-4.20831	0.000125344	-0.000133874	0.543685	0.83929	0.280399	0.106981
245.45	-5.90043	-4.15784	9.26859e-05	-0.0001285	0.547093	0.837072	0.272606	0.136295
245.65	-5.87647	-4.111	0.000117382	-0.000158436	0.550444	0.834872	0.290747	0.117075
245.85	-5.85619	-4.05821	0.000135986	-0.000145767	0.553486	0.832859	0.291136	0.123524
246.05	-5.8363	-4.00432	0.000121285	-8.93619e-05	0.556666	0.830737	0.284088	0.117245
246.25	-5.82018	-3.95237	0.000143254	-8.69975e-05	0.559844	0.828598	0.265648	0.10751
246.45	-5.80606	-3.90329	0.00011625	-8.71057e-05	0.562635	0.826706	0.25953	0.103335
246.65	-5.79707	-3.86553	7.2881e-05	-7.12621e-05	0.564735	0.825272	0.241899	0.0906309
246.851	-5.78651	-3.81956	7.10918e-05	-2.77999e-05	0.569504	0.821989	0.259284	0.0980312
247.05	-5.77782	-3.76978	8.4587e-05	-4.07214e-05	0.57302	0.819541	0.238227	0.084661
247.25	-5.77087	-3.7224	4.18799e-05	-8.47447e-05	0.576482	0.81711	0.24034	0.0860868
247.45	-5.76779	-3.67502	7.0715e-05	-0.000159655	0.579326	0.815096	0.233273	0.0875805
247.65	-5.76152	-3.62918	4.10496e-05	-0.000278838	0.583252	0.812291	0.227994	0.0869564
247.85	-5.75502	-3.57684	8.16686e-05	-0.000184199	0.58658	0.809891	0.230554	0.0899226
248.05	-5.74926	-3.53217	-1.55355e-05	-0.000151892	0.590709	0.806885	0.22099	0.0882373
248.25	-5.7437	-3.48879	2.90468e-05	-0.000134546	0.595121	0.803636	0.212287	0.0876342
248.45	-5.73368	-3.45304	3.39145e-05	-5.33437e-06	0.600984	0.799261	0.209052	0.084731
248.65	-5.72855	-3.41108	-3.03439e-05	1.10241e-05	0.605544	0.795812	0.204737	0.0914372
248.85	-5.72359	-3.37009	3.1091e-05	3.51057e-05	0.610405	0.79209	0.203062	0.0943684
249.051	-5.71888	-3.32609	-1.52105e-05	1.90839e-05	0.614436	0.788966	0.202527	0.0976969
249.25	-5.7154	-3.29706	4.2812e-05	3.62252e-05	0.618126	0.786079	0.201148	0.0942772
249.45	-5.71099	-3.25807	1.91366e-05	4.2632e-05	0.622792	0.782387	0.195761	0.0998053
249.65	-5.70458	-3.23017	-8.70724e-05	4.96349e-05	0.631094	0.775706	0.197335	0.117967
249.85	-5.70026	-3.19401	-3.84921e-05	0.000143639	0.634742	0.772724	0.184945	0.115775
250.05	-5.69533	-3.15788	-1.87133e-05	0.00012203	0.639137	0.769092	0.191206	0.114232
250.25	-5.65211	-3.11967	-8.50823e-05	0.000114477	0.642929	0.765926	0.15056	0.0831065
250.45	-5.64961	-3.08801	-0.000121217	0.000119065	0.647752	0.761852	0.143325	0.0808696
250.65	-5.647	-3.05525	-3.42208e-05	0.000124476	0.653154	0.757225	0.171726	0.105866
250.85	-5.66391	-3.01332	-2.57007e-05	0.000111161	0.658243	0.752805	0.177006	0.109739
251.05	-5.66104	-2.98091	-6.3032e-05	0.000167876	0.663165	0.748473	0.174834	0.119311
251.25	-5.65856	-2.94884	-7.63111e-05	0.000185338	0.668183	0.743997	0.155035	0.106268
251.45	-5.66616	-2.92684	-8.64103e-05	0.000174546	0.6755	0.73736	0.153608	0.105165
251.65	-5.66516	-2.90538	-9.39035e-05	0.000190985	0.67953	0.733648	0.129469	0.0946161
251.85	-5.66364	-2.87938	-0.000116885	0.000210172	0.684631	0.72889	0.137703	0.0991811
252.05	-5.68054	-2.84273	-0.000118701	0.000205508	0.690788	0.723057	0.125179	0.0950205
252.25	-5.6797	-2.81756	-0.000212925	0.000222233	0.695958	0.718082	0.129204	0.0986154
252.45	-5.67909	-2.7924	-0.000199035	0.000269434	0.701445	0.712724	0.142158	0.11063
252.65	-5.66019	-2.76527	-0.000217836	0.000317253	0.704342	0.709861	0.13884	0.10891
252.85	-5.65999	-2.73998	-0.000260638	0.000316898	0.710165	0.704035	0.116631	0.0917152
253.05	-5.66009	-2.71618	-0.000316567	0.000283216	0.715588	0.698523	0.113881	0.0895414
253.25	-5.6976	-2.71266	-0.000328459	0.000365393	0.72472	0.689044	0.103728	0.0806381
253.45	-5.69818	-2.69281	-0.000280049	0.000206841	0.729039	0.684472	0.109302	0.0877557
253.65	-5.699	-2.67244	-0.000330865	0.000343724	0.733899	0.679258	0.112405	0.0901212
253.85	-5.69883	-2.64597	-0.000343688	0.000363736	0.739916	0.672699	0.114349	0.0954972
254.05	-5.69965	-2.62669	-0.000361602	0.000376133	0.745012	0.667051	0.0997572	0.088001
254.251	-5.70047	-2.61198	-0.000375144	0.000382313	0.749097	0.66246	0.107346	0.0859114
254.45	-5.70972	-2.59434	-0.000319415	0.000334717	0.755353	0.655318	0.102149	0.0821527
254.65	-5.71154	-2.57424	-0.000380312	0.000377354	0.761034	0.648712	0.104872	0.0889874
254.85	-5.71344	-2.55475	-0.000399098	0.000362281	0.766848	0.641829	0.10337	0.0868066
